Accession,prop_hits,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
MG011342,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D., Midgley,C., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",3/7/2016,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-13984/2016, complete genome",MERS,9606
MG011345,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D., Midgley,C., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",3/18/2016,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-15385/2016, complete genome",MERS,9606
MG011359,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D., Midgley,C., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",3/29/2016,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-16559/2016, complete genome",MERS,9606
MG011358,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D., Midgley,C., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",9/21/2016,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-24241/2016, complete genome",MERS,9606
MG011352,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D., Midgley,C., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",7/20/2016,"Middle East respiratory syndrome-related coronavirus isolate Hu/Qasim-KSA-893/2016, complete genome",MERS,9606
KU558701,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Huang,Y.W., Wang,B.","",China,Sus scrofa,feces,11/14/2013,"Porcine epidemic diarrhea virus isolate ZJU/G2/2013, complete genome",Porcine epidemic diarrhea virus,9823
KX154690,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-01,"Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-161RS1146/2016, complete genome",MERS,9606
KX154688,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-12160/2016, complete genome",MERS,9606
KX154694,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/29/2016,"Middle East respiratory syndrome coronavirus isolate Hu/Artawiyah-KSA-13328/2016, complete genome",MERS,9606
KX154684,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11739/2016, complete genome",MERS,9606
KX154685,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11740/2016, complete genome",MERS,9606
KX154687,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Midgley,C.M., Alessa,M., Hawaj,H.A.L., Saeed,A.B., Almasri,M.M., Lu,X., Abedi,G.R., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Al-Abdely,H.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Watson,J.T., Gerber,S.I.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2016-02,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11958/2016, complete genome",MERS,9606
KX364294,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27685,"Gao,M., Xu,Q., Zhang,T., Chen,Y., Wang,Q., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2014,"Infectious bronchitis virus strain ck/CH/LBJ/140528, complete genome",Avian coronavirus,9031
KX364295,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27688,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2014-05,"Infectious bronchitis virus strain ck/CH/LBJ/140511, complete genome",Avian coronavirus,9031
KX364292,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27684,"Gao,M., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2011,"Infectious bronchitis virus strain ck/CH/LSD/110739, complete genome",Avian coronavirus,9031
KX434790,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27618,"Gao,M., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2011,"Infectious bronchitis virus strain ck/CH/LJS/111210, complete genome",Avian coronavirus,9031
KX375806,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27684,"Gao,M., Zhao,W., Xu,Q., Zhang,T., Chen,Y., Wang,Q., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2011,"Infectious bronchitis virus strain ck/CH/LHLJ/110673, complete genome",Avian coronavirus,9031
KX791060,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28035,"Zhang,Y.","",China,Sus scrofa,unknown,5/12/2014,"Porcine epidemic diarrhea virus isolate CHSD2014, complete genome",Porcine epidemic diarrhea virus,9823
KX812524,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Chen,N., Zhu,J.","",China,Sus scrofa,unknown,8/1/2016,"Porcine epidemic diarrhea virus isolate XM2-4, complete genome",Porcine epidemic diarrhea virus,9823
KX550281,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28067,"Li,X., Li,G., Liu,Y., Guo,N., Lv,Y., Fang,W., Narayan,P.","","China: Zhejiang, Hangzhou",Sus scrofa,abdominal cavity,1/16/2015,"Porcine epidemic diarrhea virus strain ZJ15XS0101 P1, complete genome",Porcine epidemic diarrhea virus,9823
KX580953,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Sun,F., Shi,H., Chen,R.","",China,Sus scrofa,feces,2013,"Porcine epidemic diarrhea virus strain KB2013-4, complete genome",Porcine epidemic diarrhea virus,9823
KX259256,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27681,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2012-05,"Infectious bronchitis virus strain ck/CH/LJS/120552, complete genome",Avian coronavirus,9031
KX275390,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27679,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2014-11,"Infectious bronchitis virus strain ck/CH/LHLJ/141103, complete genome",Avian coronavirus,9031
KX302875,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27682,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2010-05,"Infectious bronchitis virus strain ck/CH/LJL/100512, complete genome",Avian coronavirus,9031
KX275392,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27685,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2009-11,"Infectious bronchitis virus strain ck/CH/LHLJ/110943, complete genome",Avian coronavirus,9031
KX236014,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27692,"Gao,M., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2012,"Infectious bronchitis virus strain ck/CH/LHB/120497, complete genome",Avian coronavirus,9031
KX236015,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27672,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2014-07,"Infectious bronchitis virus strain ck/CH/LDL/140709, complete genome",Avian coronavirus,9031
KX236000,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27685,"Xu,Q., Zhao,W., Zhang,T., Gao,M., Chen,Y., Wang,Q., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2011,"Infectious bronchitis virus strain ck/CH/LSD/110912, complete genome",Avian coronavirus,9031
KX272465,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27646,"Naguib,M.M., Hoper,D., Arafa,A.S., Setta,A.M., Abed,M., Monne,I., Beer,M., Harder,T.C., Arafa,A.A.",27793730,Sudan,Gallus gallus,unknown,12/1/2014,"Infectious bronchitis virus isolate AR251-15, complete genome",Avian coronavirus,9031
KX185058,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27678,"Gao,M., Zhang,T., Xu,Q., Zhao,W., Chen,Y., Wang,Q., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2014,"Infectious bronchitis virus strain ck/CH/LGS/08I, complete genome",Avian coronavirus,9031
KX247128,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27682,"Xu,Q., Zhao,W., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2013-05,"Infectious bronchitis virus strain ck/CH/LHB/130569, complete genome",Avian coronavirus,9031
KX219798,0.146892655367232,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27682,"Gao,M., Zhao,W., Xu,Q., Chen,Y., Wang,Q., Zhang,T., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2012-09,"Infectious bronchitis virus strain ck/CH/LSD/120913, complete genome",Avian coronavirus,9031
KY070587,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28045,"Fan,B., Guo,R., Yu,Z., Jiao,D., Mao,A., Pang,F., Li,B., He,K.","",China,Sus scrofa,abdominal cavity,2016,"Porcine epidemic diarrhea virus isolate JSCZ1601, complete genome",Porcine epidemic diarrhea virus,9823
KR153325,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27995,"Mo,W.Y., Luo,J., Zhu,S.H., Zhang,D.T., Tian,Q., Wang,Y.F., Leng,H.P., Lin,Y.Y., Guo,X.F.","",China,Sus scrofa,abdominal cavity,1/1/2014,"Porcine epidemic diarrhea virus strain CH/GDZH02/1401, complete genome",Porcine epidemic diarrhea virus,9823
KX108943,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30088,"Lau,S.K., Wernery,R., Wong,E.Y., Joseph,S., Tsang,A.K., Patteril,N.A., Elizabeth,S.K., Chan,K.H., Muhammed,R., Kinne,J., Yuen,K.Y., Wernery,U., Woo,P.C., Lau,S.K.P., Wong,E.Y.M., Tsang,A.K.L., Woo,P.C.Y.",27999424,United Arab Emirates,Camelus dromedarius,unknown,4/23/2015,"Middle East respiratory syndrome coronavirus isolate D998/15, complete genome",MERS,9838
KX108946,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30099,"Lau,S.K., Wernery,R., Wong,E.Y., Joseph,S., Tsang,A.K., Patteril,N.A., Elizabeth,S.K., Chan,K.H., Muhammed,R., Kinne,J., Yuen,K.Y., Wernery,U., Woo,P.C., Lau,S.K.P., Wong,E.Y.M., Tsang,A.K.L., Woo,P.C.Y.",27999424,United Arab Emirates,Camelus dromedarius,unknown,5/18/2015,"Middle East respiratory syndrome coronavirus isolate D1189.1/15, complete genome",MERS,9838
KY019624,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28021,"Toplak,I., Kuhar,U.","",Slovenia,Sus scrofa,unknown,11/3/2015,"Porcine epidemic diarrhea virus isolate SLOreBAS-2/2015, complete genome",Porcine epidemic diarrhea virus,9823
KY019623,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28021,"Toplak,I., Kuhar,U.","",Slovenia,Sus scrofa,unknown,11/3/2015,"Porcine epidemic diarrhea virus isolate SLOreBAS-1/2015, complete genome",Porcine epidemic diarrhea virus,9823
KT861627,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30089,"Lu,X., Al-Abdallat,M.M., Haddadin,A., Al-Sanouri,T., Erdman,D.D.","",Jordan,Homo sapiens,"lung, oronasopharynx",1/22/2014,"Middle East respiratory syndrome coronavirus isolate Hu/Jordan-20140010168/2014, complete genome",MERS,9606
KU710265,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29566,"Lu,X., Rowe,L.A., Frace,M., Stevens,J., Abedi,G.R., El Nile,O., Banassir,T., Al-Masri,M., Watson,J.T., Assiri,A., Erdman,D.D.",27486688,Saudi Arabia,Homo sapiens,blood,11/4/2014,"Middle East respiratory syndrome coronavirus isolate Hu/Taif/KSA-7032/2014/S530del, complete genome",MERS,9606
KM975741,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28029,"Chen,Q., Chriswell,A., Dunn,D., Li,G., Sinha,A., Harmon,K., Stensland,W., Gauger,P., Yoon,K.-J., Madson,D., Schwartz,K., Mueller,K., Main,R., Stevenson,G., Zhang,J.","",USA: Missouri,Sus scrofa,unknown,1/20/2014,"Porcine epidemic diarrhea virus strain USA/MO/2014/03293, complete genome",Porcine epidemic diarrhea virus,9823
KM975740,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28029,"Chen,Q., Chriswell,A., Dunn,D., Li,G., Sinha,A., Harmon,K., Stensland,W., Gauger,P., Yoon,K.-J., Madson,D., Schwartz,K., Mueller,K., Main,R., Stevenson,G., Zhang,J.","",USA: Illinois,Sus scrofa,unknown,12/31/2013,"Porcine epidemic diarrhea virus strain USA/IL/2013/59573-5, complete genome",Porcine epidemic diarrhea virus,9823
KU851862,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16117/2015, complete genome",MERS,9606
KU851860,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16121/2015, complete genome",MERS,9606
KU851861,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16120/2015, complete genome",MERS,9606
KU851863,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/27/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16077/2015, complete genome",MERS,9606
KU851864,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16098/2015, complete genome",MERS,9606
KU982979,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28003,"Freeman,M.","",USA: Minnesota,Sus scrofa,unknown,11/4/2015,"Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota131/2015, complete genome",Porcine epidemic diarrhea virus,9823
KU982968,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27995,"Freeman,M.","",USA: Oklahoma,Sus scrofa,feces,11/6/2015,"Porcine epidemic diarrhea virus strain PEDV/USA/Oklahoma133/2015, complete genome",Porcine epidemic diarrhea virus,9823
KM347965,0.146892655367232,Ferret coronavirus,Alphacoronavirus,Alphacoronavirus,28434,"Stalin Raj,V., Provacia,L.B.V., Smits,S.L., Osterhaus,A.D.M.E., Haagmans,B.L.","",Netherlands,Mustela putorius,unknown,2010,"Ferret coronavirus isolate FRCoV-NL-2010, complete genome",Ferret coronavirus,9668
KU252649,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28077,"Lin,H., Chen,L., Gao,L., Yuan,X., Ma,Z., Fan,H.",27103490,China,Sus scrofa,unknown,5/8/2014,"Porcine epidemic diarrhea virus strain YC2014, complete genome",Porcine epidemic diarrhea virus,9823
KX034099,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30110,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.","",South Korea,Homo sapiens,"lung, oronasopharynx",6/26/2015,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/169-2015, complete genome",MERS,9606
KX034095,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30118,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.","",South Korea,Homo sapiens,"lung, oronasopharynx",6/4/2015,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/066-2015, complete genome",MERS,9606
KX034097,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30118,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.","",South Korea,Homo sapiens,"lung, oronasopharynx",6/17/2015,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/080-3-2015, complete genome",MERS,9606
KU380331,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28035,"Zhang,Y.","",China,Sus scrofa,unknown,5/1/2015,"Porcine epidemic diarrhea virus isolate CH-SD01, complete genome",Porcine epidemic diarrhea virus,9823
KT806044,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/9/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20843/2015, complete genome",MERS,9606
KT806049,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/15/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3181/2015, complete genome",MERS,9606
KT806052,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/2/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2599/2015, complete genome",MERS,9606
KT806054,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29695,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/13/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Najran-KSA-C20915/2015, complete genome",MERS,9606
KT806045,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/22/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C21271/2015, complete genome",MERS,9606
KT806046,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",5/10/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11002/2015, complete genome",MERS,9606
KT806047,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30087,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",3/27/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-9158/2015, complete genome",MERS,9606
KT806053,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,unknown,2/2/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2598/2015, complete genome",MERS,9606
KT806048,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30096,"Lu,X., Assiri,A.M., Erdman,D.D.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/7/2015,"Middle East respiratory syndrome coronavirus isolate Hu/Khobar-KSA-6736/2015, complete genome",MERS,9606
KR265759,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27984,"Jarvis,M.C., Lam,H.C., Zhang,Y., Wang,L., Hesse,R.A., Hause,B.M., Vlasova,A., Wang,Q., Zhang,J., Nelson,M.I., Murtaugh,M., Marthaler,D., Raymond,L., Holzer,K.","",USA: Minnesota,Sus scrofa,unknown,1/14/2014,"Porcine epidemic diarrhea virus strain USA/Minnesota187/2014 from USA, complete genome",Porcine epidemic diarrhea virus,9823
KU297956,0.146892655367232,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28028,"Toplak,I., Ipavec,M., Kuhar,U., Kusar,D., Papic,B., Koren,S., Toplak,N.",27056240,Slovenia,Sus scrofa,feces,9/3/2015,"Porcine epidemic diarrhea virus strain SLO/JH-11/2015, complete genome",Porcine epidemic diarrhea virus,9823
KU242424,0.146892655367232,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30112,"Wernery,U., Corman,V.M., Wong,E.Y., Tsang,A.K., Muth,D., Lau,S.K., Khazanehdari,K., Zirkel,F., Ali,M., Nagy,P., Juhasz,J., Wernery,R., Joseph,S., Syriac,G., Elizabeth,S.K., Patteril,N.A., Woo,P.C., Drosten,C., Wong,E.Y.M., Tsang,A.K.L., Lau,S.K.P., Patteril,N.A.G., Woo,P.C.Y.",25989145,United Arab Emirates,Camelus dromedarius,unknown,3/4/2014,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D469-14, complete genome",MERS,9838
