Accession,mean,Species,Genus,Genus_clean,Length,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_clean,Host_taxID
KY581699,64.0147407407407,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30123,"Paden,C.R., Yusof,M.F.B.M., Al Hammadi,Z.M., Queen,K., Tao,Y., Eltahir,Y.M., Elsayed,E.A., Marzoug,B.A., Bensalah,O.K.A., Khalafalla,A.I., Al Mulla,M., Elkheir,K.A., Issa,Z.B., Pradeep,K., Elsaleh,F.N., Imambaccus,H., Sasse,J., Weber,S., Shi,M., Zhang,J., Li,Y., Pham,H., Kim,L., Hall,A.J., Gerber,S.I., Al Hosani,F.I., Tong,S., Al Muhairi,S.S.M., Al Muhairi,S.S., Al Hammadi,Z., Abou Elkheir,K., Al Bandar,Z., El Saleh,F., Hall,A., Gerber,S.",29239118,United Arab Emirates,Camelus dromedarius,oronasopharynx,6/1/2014,"Middle East respiratory syndrome-related coronavirus strain Camel/UAE_2B-E_2014, complete genome",MERS,9838
KY581700,64.0147407407407,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30123,"Paden,C.R., Yusof,M.F.B.M., Al Hammadi,Z.M., Queen,K., Tao,Y., Eltahir,Y.M., Elsayed,E.A., Marzoug,B.A., Bensalah,O.K.A., Khalafalla,A.I., Al Mulla,M., Elkheir,K.A., Issa,Z.B., Pradeep,K., Elsaleh,F.N., Imambaccus,H., Sasse,J., Weber,S., Shi,M., Zhang,J., Li,Y., Pham,H., Kim,L., Hall,A.J., Gerber,S.I., Al Hosani,F.I., Tong,S., Al Muhairi,S.S.M., Al Muhairi,S.S., Al Hammadi,Z., Abou Elkheir,K., Al Bandar,Z., El Saleh,F., Hall,A., Gerber,S.",29239118,United Arab Emirates,Camelus dromedarius,oronasopharynx,2/18/2014,"Middle East respiratory syndrome-related coronavirus strain Camel/UAE_3B-C_2014, complete genome",MERS,9838
KY620116,51.90712,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27685,"Chen,Y., Han,Z., Zhao,W., Jiang,L., Liu,S.","",China,Gallus gallus,unknown,2016,"Infectious bronchitis virus strain gammaCoV/ck/China/I1101/16, complete genome",Avian coronavirus,9031
KY621348,54.9978,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27144,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2016,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC379/2016, complete genome",Human coronavirus 229E,9606
KY649107,55.7737857142857,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28032,"Qiao,H., Zhang,Y., Yang,X.W., Xu,P.L., Chen,H.Y.","",China,Sus scrofa,feces,5/1/2016,"Porcine epidemic diarrhea virus strain CH-HNKF-16, complete genome",Porcine epidemic diarrhea virus,9823
KY673148,64.0147407407407,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30123,"Queen,K., Al-Jardani,A., Zhang,J., Al Kindi,H., Li,Y., Tao,Y., Al Baqlani,S., Al Mahrouqi,S., Tong,S.","",Oman,Homo sapiens,oronasopharynx,1/6/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Oman_50_2015, complete genome",MERS,9606
KY673149,64.0147407407407,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30123,"Queen,K., Al-Jardani,A., Zhang,J., Al Kindi,H., Li,Y., Tao,Y., Al Baqlani,S., Al Mahrouqi,S., Tong,S.","",Oman,Camelus dromedarius,oronasopharynx,2015-01,"Middle East respiratory syndrome-related coronavirus strain Camel/Oman_1_2015, complete genome",MERS,9838
KY674914,54.514,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27055,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC399/2016, complete genome",Human coronavirus 229E,9606
KY674916,57.33325,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27492,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus NL63 strain N07-64B, complete genome",Human coronavirus NL63,9606
KY674919,55.361724137931,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27136,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus 229E strain N08-434B, complete genome",Human coronavirus 229E,9606
KY674920,59.3172285714286,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30581,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain N09-595B, complete genome",Human coronavirus OC43,9606
KY674921,58.8736060606061,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29820,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus HKU1 genotype B strain N08-87, complete genome",Human coronavirus HKU1,9606
KY674943,60.1540909090909,Human coronavirus HKU1,Betacoronavirus,Betacoronavirus,29908,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus HKU1 strain N09-1605B, complete genome",Human coronavirus HKU1,9606
KY684759,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30656,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2269/2016, complete genome",Human coronavirus OC43,9606
KY684760,55.1318275862069,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27249,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2016,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2282/2017, complete genome",Human coronavirus 229E,9606
KY688118,65.4512307692308,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30075,"Paden,C.R., Tamin,A., Assiri,A.M., Queen,K., Li,Y., Zhang,J., Tong,S.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",2/7/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Khobar-KSA-6736/2015, complete genome",MERS,9606
KY688119,63.6563461538462,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30061,"Paden,C.R., Tamin,A., Assiri,A.M., Queen,K., Li,Y., Zhang,J., Tong,S.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",5/1/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Aseer-KSA-Rs924/2015, complete genome",MERS,9606
KY688120,64.6731851851852,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30102,"Paden,C.R., Tamin,A., Assiri,A.M., Queen,K., Li,Y., Zhang,J., Tong,S.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",5/10/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11002/2015, complete genome",MERS,9606
KY688121,63.792,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30039,"Paden,C.R., Tamin,A., Assiri,A.M., Queen,K., Li,Y., Zhang,J., Tong,S.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",5/22/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11442/2015, complete genome",MERS,9606
KY688123,65.4512307692308,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30102,"Paden,C.R., Tamin,A., Assiri,A.M., Queen,K., Li,Y., Zhang,J., Tong,S.","",Saudi Arabia,Homo sapiens,"lung, oronasopharynx",5/13/2015,"Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11150/2015, complete genome",MERS,9606
KY770850,57.2946086956522,Bat coronavirus,Unknown,Alphacoronavirus,26883,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Myotis siligorensis,unknown,2013,"Bat coronavirus isolate Anlong-43, complete genome",Bat coronavirus,258940
KY770851,59.3403043478261,Bat coronavirus,Unknown,Alphacoronavirus,28096,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Myotis davidii,unknown,2013,"Bat coronavirus isolate Anlong-57, complete genome",Bat coronavirus,225400
KY770858,87.5346796875,Bat coronavirus,Unknown,Betacoronavirus,29688,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Rhinolophus sinicus,unknown,2013,"Bat coronavirus isolate Anlong-103, complete genome",Bat coronavirus,89399
KY770859,87.5346796875,Bat coronavirus,Unknown,Betacoronavirus,29667,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Rhinolophus sinicus,unknown,2013,"Bat coronavirus isolate Anlong-112, complete genome",Bat coronavirus,89399
KY770860,87.0493893129771,Bat coronavirus,Unknown,Betacoronavirus,29651,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Hao,Z.-Y.H., Zhang,Y.-Z.",28384506,China,Rhinolophus ferrumequinum,unknown,2012,"Bat coronavirus isolate Jiyuan-84, complete genome",Bat coronavirus,59479
KY776700,55.0981176470588,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27623,"Jiang,L., Zhao,W., Chen,Y., Han,Z., Liu,S.","",China,Gallus gallus,unknown,"","Infectious bronchitis virus strain gammaCoV/ck/China/I0712/11, complete genome",Avian coronavirus,9031
KY776701,55.0000555555556,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27620,"Zhao,W., Jiang,L., Chen,Y., Han,Z., Liu,S.","",China,Gallus gallus,unknown,2017,"Infectious bronchitis virus strain gammaCoV/ck/China/I0108/17, complete genome",Avian coronavirus,9031
KY793536,56.59996,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Qin,Y., Lu,B., He,Y., Li,B., Duan,Q., Liang,J., Chen,Z., Su,Q., Zhao,W.","",China: Guangxi,Sus scrofa,"feces, abdominal cavity",2/14/2015,"Porcine epidemic diarrhea virus strain CH/GX/2015/750A, complete genome",Porcine epidemic diarrhea virus,9823
KY799179,57.3270909090909,Bat coronavirus CDPHE15,Alphacoronavirus,Alphacoronavirus,28173,"Subudhi,S., Rapin,N., Bollinger,T.K., Hill,J.E., Donaldson,M.E., Davy,C.M., Warnecke,L., Turner,J.M., Kyle,C.J., Willis,C.K.R., Misra,V., Hill,J., Donaldson,M., Turner,J.",28840816,Canada,Myotis lucifugus,unknown,2010-11,"Myotis lucifugus coronavirus, complete genome",Bat coronavirus CDPHE15,59463
KY799582,51.041625,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27672,"Jiang,L., Han,Z., Chen,Y., Zhao,W., Sun,J., Zhao,Y., Liu,S.",29141204,China,Gallus gallus,unknown,"","Infectious bronchitis virus strain ck/CH/LSC/99I, complete genome",Avian coronavirus,9031
KY805845,52.2905454545455,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27631,"Abozeid,H.H., Paldurai,A., Khattar,S.K., Afifi,M.A., El-Kady,M.F., El-Deeb,A.H., Samal,S.K.",28495648,Egypt,Gallus gallus,unknown,2014,"Infectious bronchitis virus isolate IBV/Ck/EG/CU/1/2014, complete genome",Avian coronavirus,9031
KY805846,49.2352608695652,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27663,"Abozeid,H.H., Paldurai,A., Khattar,S.K., Afifi,M.A., El-Kady,M.F., El-Deeb,A.H., Samal,S.K.",28495648,Egypt,Gallus gallus,unknown,2014,"Infectious bronchitis virus isolate IBV/Ck/EG/CU/4/2014, complete genome",Avian coronavirus,9031
KY825240,56.319375,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28032,"Lee,S., Son,K.-Y., Noh,Y.-H., Lee,S.-C., Choi,H.-W., Yoon,I.-J., Lee,C.","",South Korea,Sus scrofa,unknown,2016-01,"Porcine epidemic diarrhea virus isolate KNU-141112-S DEL2, complete genome",Porcine epidemic diarrhea virus,9823
KY825241,57.3187826086957,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27985,"Lee,S., Son,K.-Y., Noh,Y.-H., Lee,S.-C., Choi,H.-W., Yoon,I.-J., Lee,C.","",South Korea,Sus scrofa,unknown,2016-01,"Porcine epidemic diarrhea virus isolate KNU-141112-S DEL2/ORF3, complete genome",Porcine epidemic diarrhea virus,9823
KY825242,57.3187826086957,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28020,"Lee,S., Son,K.-Y., Noh,Y.-H., Lee,S.-C., Choi,H.-W., Yoon,I.-J., Lee,C.","",South Korea,Sus scrofa,unknown,2016-01,"Porcine epidemic diarrhea virus isolate KNU-141112-S DEL5, complete genome",Porcine epidemic diarrhea virus,9823
KY825243,57.8985217391304,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,27974,"Lee,S., Son,K.-Y., Noh,Y.-H., Lee,S.-C., Choi,H.-W., Yoon,I.-J., Lee,C.","",South Korea,Sus scrofa,unknown,2016-01,"Porcine epidemic diarrhea virus isolate KNU-141112-S DEL5/ORF3, complete genome",Porcine epidemic diarrhea virus,9823
KY829118,56.190380952381,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27513,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus NL63 strain N07-262B, complete genome",Human coronavirus NL63,9606
KY926512,44.9570769230769,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25419,"Jang,G., Lee,K.K., Kim,S.H., Lee,C.",28758347,South Korea,Sus scrofa,feces,2016-11,"Porcine deltacoronavirus isolate KNU16-11, complete genome",Coronavirus HKU15,9823
KY928065,56.1110740740741,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28063,"Li,D.","",China,Sus scrofa,feces,2016-03,"Porcine epidemic diarrhea virus isolate CH_hubei_2016, complete genome",Porcine epidemic diarrhea virus,9823
KY929405,57.58325,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Chang,Y.C., Kao,C.F., Chang,C.Y., Jeng,C.R., Tsai,P.S., Pang,V.F., Chiou,H.Y., Peng,J.Y., Cheng,I.C., Chang,H.W., Kao,C.-F., Chang,Y.-C., Chang,H.-W.",28534849,Taiwan,Sus scrofa,unknown,5/4/2015,"Porcine epidemic diarrhea virus strain PT-P5, complete genome",Porcine epidemic diarrhea virus,9823
KY929406,57.58325,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28038,"Chang,Y.C., Kao,C.F., Chang,C.Y., Jeng,C.R., Tsai,P.S., Pang,V.F., Chiou,H.Y., Peng,J.Y., Cheng,I.C., Chang,H.W., Kao,C.-F., Chang,Y.-C., Chang,H.-W.",28534849,Taiwan,Sus scrofa,unknown,1/2/2016,"Porcine epidemic diarrhea virus strain PT-P96, complete genome",Porcine epidemic diarrhea virus,9823
KY933089,51.7068333333333,Avian coronavirus,Gammacoronavirus,Gammacoronavirus,27573,"Listorti,V., Laconi,A., Catelli,E., Cecchinato,M., Lupini,C., Naylor,C.J.",28917538,United Kingdom,Gallus gallus,unknown,"","Avian coronavirus strain 1148-A, complete genome",Avian coronavirus,9031
KY938558,87.1408015873016,Bat coronavirus,Unknown,Betacoronavirus,29075,"Son,K.","",South Korea: abandoned mine,Rhinolophus ferrumequinum,oronasopharynx,4/17/2016,"Bat coronavirus strain 16BO133, complete genome",Bat coronavirus,59479
KY963963,57.6086521739131,Porcine epidemic diarrhea virus,Alphacoronavirus,Alphacoronavirus,28053,"Lee,S., Lee,C.",28589511,South Korea,Sus scrofa,unknown,2016-03,"Porcine epidemic diarrhea virus isolate KNU-1601, complete genome",Porcine epidemic diarrhea virus,9823
KY967356,58.989,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30648,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2924/2015, complete genome",Human coronavirus OC43,9606
KY967357,55.1318275862069,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27242,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC2872/2015, complete genome",Human coronavirus 229E,9606
KY967358,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30670,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2770/2015, complete genome",Human coronavirus OC43,9606
KY967359,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30670,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2730/2015, complete genome",Human coronavirus OC43,9606
KY967360,59.9782941176471,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30674,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2476/2015, complete genome",Human coronavirus OC43,9606
KY967361,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30661,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2345/2015, complete genome",Human coronavirus OC43,9606
KY983583,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30668,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2481/2015, complete genome",Human coronavirus OC43,9606
KY983585,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30659,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC2854/2015, complete genome",Human coronavirus OC43,9606
KY983586,56.3521363636364,Human coronavirus NL63,Alphacoronavirus,Alphacoronavirus,27489,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus NL63 strain HCoV_NL63/Seattle/USA/SC2940/2015, complete genome",Human coronavirus NL63,9606
KY983587,54.6274333333333,Human coronavirus 229E,Alphacoronavirus,Alphacoronavirus,27235,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus 229E strain HCoV_229E/Seattle/USA/SC3112/2015, complete genome",Human coronavirus 229E,9606
KY983588,59.8700303030303,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30562,"Greninger,A.L., Makhsous,N., Kuypers,J., Shean,R.C., Jerome,K.R., Kuypers,J.M.","",USA,Homo sapiens,unknown,2015,"Human coronavirus OC43 strain HCoV_OC43/Seattle/USA/SC3118/2015, complete genome",Human coronavirus OC43,9606
KY994645,59.5369,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30684,"Shi,J.","",China,Sus scrofa,brain,8/21/2008,"Porcine hemagglutinating encephalomyelitis virus strain JL/2008, complete genome",Betacoronavirus 1,9823
LC556375,88.7211555555556,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,29718,"","","",Rhinolophus cornutus,"","",Severe acute respiratory syndrome-related coronavirus,SARS-like,
MF000457,65.7076538461539,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30001,"Paden,C.R., Tamin,A., AL-Abdallat,M.M., Haddadin,A., Al-sanouri,T., Queen,K., Li,Y., Zhang,J., Payne,D.C., Tong,S.","",Jordan,Homo sapiens,oronasopharynx,8/25/2015,"Middle East respiratory syndrome-related coronavirus isolate Hu/Amman-Jordan-12641/2015, complete genome",MERS,9606
MF000458,64.5085925925926,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30045,"Paden,C.R., Tamin,A., AL-Abdallat,M.M., Haddadin,A., Al-sanouri,T., Queen,K., Li,Y., Zhang,J., Payne,D.C., Tong,S.","",Jordan,Homo sapiens,oronasopharynx,9/19/2015,"Middle East respiratory syndrome-related coronavirus isolate Hu/Amman-Jordan-13030/2015, complete genome",MERS,9606
MF000459,64.5085925925926,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30018,"Paden,C.R., Tamin,A., AL-Abdallat,M.M., Haddadin,A., Al-sanouri,T., Queen,K., Li,Y., Zhang,J., Payne,D.C., Tong,S.","",Jordan,Homo sapiens,"lung, oronasopharynx",9/7/2015,"Middle East respiratory syndrome-related coronavirus isolate Hu/Amman-Jordan-12918/2015, complete genome",MERS,9606
MF000460,64.5085925925926,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Betacoronavirus,30045,"Paden,C.R., Tamin,A., AL-Abdallat,M.M., Haddadin,A., Al-sanouri,T., Queen,K., Li,Y., Zhang,J., Payne,D.C., Tong,S.","",Jordan,Homo sapiens,oronasopharynx,8/30/2015,"Middle East respiratory syndrome-related coronavirus isolate Hu/Amman-Jordan-12716/2015, complete genome",MERS,9606
MF041982,45.7776,Coronavirus HKU15,Deltacoronavirus,Deltacoronavirus,25414,"Yang,D., Ju,H., Wang,J., Bai,Y., Ge,F., Liu,J., Li,X., Sun,Q., Yang,X.C., Zhu,J., Zhou,J., Liu,P.","",China,Sus scrofa,unknown,12/23/2016,"Porcine deltacoronavirus strain SHJS/SL/2016, complete genome",Coronavirus HKU15,9823
MF083115,59.5369,Betacoronavirus 1,Betacoronavirus,Betacoronavirus,30682,"Shi,J.","",China,Sus scrofa,brain,2014-03,"Porcine hemagglutinating encephalomyelitis virus strain CC14, complete genome",Betacoronavirus 1,9823
MF094682,57.4695555555556,Swine acute diarrhea syndrome coronavirus,Unknown,Alphacoronavirus,27173,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",29618817,China,Sus scrofa,unknown,"","Swine acute diarrhea syndrome coronavirus isolate FarmB, complete genome",Swine acute diarrhea syndrome coronavirus,9823
MF094684,57.4695555555556,Swine acute diarrhea syndrome coronavirus,Unknown,Alphacoronavirus,27173,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",29618817,China,Sus scrofa,unknown,"","Swine acute diarrhea syndrome coronavirus isolate FarmD, complete genome",Swine acute diarrhea syndrome coronavirus,9823
MF094685,57.0066206896552,Swine acute diarrhea syndrome related coronavirus,Unknown,Alphacoronavirus,27200,"Zhou,P., Fan,H., Lan,T., Yang,X.L., Shi,W.F., Zhang,W., Zhu,Y., Zhang,Y.W., Xie,Q.M., Mani,S., Zheng,X.S., Li,B., Li,J.M., Guo,H., Pei,G.Q., An,X.P., Chen,J.W., Zhou,L., Mai,K.J., Wu,Z.X., Li,D., Anderson,D.E., Zhang,L.B., Li,S.Y., Mi,Z.Q., He,T.T., Cong,F., Guo,P.J., Huang,R., Luo,Y., Liu,X.L., Chen,J., Huang,Y., Sun,Q., Zhang,X.L., Wang,Y.Y., Xing,S.Z., Chen,Y.S., Sun,Y., Li,J., Daszak,P., Wang,L.F., Shi,Z.L., Tong,Y.G., Ma,J.Y., Zhang,Y., Shailendra,M., Zheng,X., Yang,X., Pei,G., An,X., Mai,K., Wu,Z., Anderson,D., Zhang,L., Li,S., Mi,Z., He,T., Liu,X., Zhang,X., Cheng,Y., Xie,Q., Wang,L.-F., Shi,Z., Tong,Y., Ma,J.",29618817,China,Rhinolophus sp.,unknown,"","Swine acute diarrhea syndrome related coronavirus isolate 8462, complete genome",Swine acute diarrhea syndrome related coronavirus,
